id,created_at,name,team_id,origin_id
1,2025-03-16 00:20:39.7691+00,Dalton Knecht,23,546
2,2025-03-16 00:20:39.7691+00,LeBron James,23,
3,2025-03-16 00:20:39.7691+00,Austin Reaves,23,523
4,2025-03-16 00:20:39.7691+00,Gabe Vincent,23,463
5,2025-03-16 00:20:39.7691+00,Rui Hachimura,23,187
6,2025-03-16 00:20:39.7691+00,Jaxson Hayes,23,548
7,2025-03-16 00:20:39.7691+00,Cam Reddish,23,146
8,2025-03-16 00:20:39.7691+00,Christian Koloko,23,451
9,2025-03-16 00:20:39.7691+00,Dorian Finney-Smith,23,476
10,2025-03-16 00:20:39.7691+00,Shake Milton,23,822
11,2025-03-16 00:20:39.7691+00,Jarred Vanderbilt,23,487
12,2025-03-16 00:20:39.7691+00,Bronny James,23,540
13,2025-03-16 00:20:39.7691+00,Trey Jemison,23,447
14,2025-03-16 00:20:39.7691+00,Luka Dončić,23,784
15,2025-03-16 00:20:39.7691+00,Jordan Goodwin,23,366
17,2025-03-16 00:20:39.7691+00,Markieff Morris,23,486
18,2025-03-16 00:20:39.7691+00,Maxi Kleber,23,689
25,2025-03-16 17:54:33.447085+00,Xavier Tillman,1,273
26,2025-03-16 17:54:33.447085+00,Lamar Stevens,28,432
27,2025-03-16 17:54:33.447085+00,Alex Len,23,494
28,2025-03-16 17:54:33.447085+00,Malik Beasley,8,171
29,2025-03-16 17:54:33.447085+00,Danny Green,,515
30,2025-03-16 17:54:33.447085+00,Lauri Markkanen,20,451
31,2025-03-16 17:54:33.447085+00,Jabari Smith,27,47
32,2025-03-16 17:54:33.447085+00,Kelly Olynyk,29,187
33,2025-03-16 17:54:33.447085+00,Bobby Portis,10,452
34,2025-03-16 17:54:33.447085+00,Larry Nance Jr.,11,570
35,2025-03-16 17:54:33.447085+00,Montrezl Harrell,,491
36,2025-03-16 17:54:33.447085+00,Steven Adams,27,526
37,2025-03-16 17:54:33.447085+00,Kris Dunn,22,337
38,2025-03-16 17:54:33.447085+00,CJ McCollum,29,237
39,2025-03-16 17:54:33.447085+00,Ben Simmons,22,250
40,2025-03-16 17:54:33.447085+00,Juan Toscano-Anderson,,260
41,2025-03-16 17:54:33.447085+00,Zach LaVine,25,459
42,2025-03-16 17:54:33.447085+00,Damian Lillard,10,598
43,2025-03-16 17:54:33.447085+00,Jaylen Brown,1,456
44,2025-03-16 17:54:33.447085+00,Cameron Payne,3,292
45,2025-03-16 17:54:33.447085+00,Klay Thompson,26,594
46,2025-03-16 17:54:33.447085+00,Jrue Holiday,1,95
47,2025-03-16 17:54:33.447085+00,Pascal Siakam,9,295
48,2025-03-16 17:54:33.447085+00,Landry Shamet,3,610
49,2025-03-16 17:54:33.447085+00,Andre Drummond,4,470
50,2025-03-16 17:54:33.447085+00,Jalen Williams,18,378
51,2025-03-16 17:54:33.447085+00,Ziaire Williams,2,400
52,2025-03-16 17:54:33.447085+00,Malachi Flynn,12,376
53,2025-03-16 17:54:33.447085+00,Troy Brown Jr.,,524
54,2025-03-16 17:54:33.447085+00,Elfrid Payton,12,489