name,team_id,origin_id
Xavier Tillman,1,273
Lamar Stevens,28,432
Alex Len,23,494
Malik Beasley,8,171
Danny Green,,515
Lauri Markkanen,20,451
Jabari Smith,27,47
Kelly Olynyk,29,187
Bobby Portis,10,452
Larry Nance Jr.,11,570
Montrezl Harrell,,491
Steven Adams,27,526
Kris Dunn,22,337
CJ McCollum,29,237
Ben Simmons,22,250
Juan Toscano-Anderson,,260
Zach LaVine,25,459
Damian Lillard,10,598
Jaylen Brown,1,456
Cameron Payne,3,292
Klay Thompson,26,594
Jrue Holiday,1,95
Pascal Siakam,9,295
Landry Shamet,3,610
Andre Drummond,4,470
Jalen Williams,18,378
Ziaire Williams,2,400
Malachi Flynn,12,376
Troy Brown Jr.,,524
Elfrid Payton,12,489